School,External ID,Academic Term,Academic Department Code,Course Code,Item Type,ISBN,Course Material Requirement
Iowa State University,S22 A B E 272 A1 26500059781630574574,Spring 2022,A B E,S22 A B E 272 A1 2650005,Book,9781630574574,required
Iowa State University,S22 A B E 272 A2 26500109781630574574,Spring 2022,A B E,S22 A B E 272 A2 2650010,Book,9781630574574,required
Iowa State University,S22 TSM 216 1 45040059781645646723,Spring 2022,TSM,S22 TSM 216 1 4504005,Book,9781645646723,required
Iowa State University,S22 TSM 216 2 45040109781645646723,Spring 2022,TSM,S22 TSM 216 2 4504010,Book,9781645646723,required
